index,Players,Year,Matches,Runs,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
1549,Krishnakant Upadhyay,2012,1,11,0.00,11*,137.50,1,0,0,1
1550,Ankeet Chavan,2012,8,11,11.00,7*,137.50,1,0,2,0
1551,Ashish Nehra,2012,13,11,0.00,9*,91.66,2,0,1,0
1552,Dhawal Kulkarni,2012,2,10,0.00,10*,200.00,1,0,2,0
1553,Sunil Narine,2012,15,9,9.00,9*,128.57,1,0,2,0
1554,Clint McKay,2012,2,8,8.00,8,53.33,0,0,0,0
1555,Juan Theron,2012,2,7,0.00,7*,116.66,1,0,1,0
1556,Shadab Jakati,2012,15,7,0.00,6*,58.33,2,0,0,0
1557,Chris Lynn,2012,1,6,6.00,6,66.66,0,0,1,0
1558,Harpreet Singh,2012,1,6,6.00,6,100.00,0,0,0,0
1559,Asad Pathan,2012,2,6,6.00,4,85.71,1,0,0,0
1560,Glenn Maxwell,2012,2,6,6.00,3*,54.54,1,0,0,0
1561,Wriddhiman Saha,2012,4,6,6.00,6,42.85,0,0,0,0
1562,Bhargav Bhatt,2012,5,6,0.00,6*,300.00,1,0,0,1
1563,Muttiah Muralitharan,2012,10,6,3.00,6,66.66,0,0,0,0
1564,RP Singh,2012,11,6,3.00,3,50.00,3,0,0,0
1565,Nuwan Kulasekara,2012,5,5,0.00,5*,166.66,1,0,1,0
1566,Pragyan Ojha,2012,9,5,2.50,4,35.71,1,0,0,0
1567,Siddharth Trivedi,2012,14,5,0.00,5*,83.33,1,0,0,0
1568,Mohnish Mishra,2012,1,4,4.00,4,100.00,0,0,1,0
1569,Dwaraka Ravi Teja,2012,2,4,2.00,4,100.00,0,0,1,0
1570,Syed Mohammad,2012,2,4,0.00,4*,400.00,1,0,1,0
1571,Thisara Perera,2012,2,4,4.00,4*,44.44,1,0,0,0
1572,Manpreet Gony,2012,6,4,4.00,4,50.00,0,0,0,0
1573,Parvinder Awana,2012,12,4,0.00,4*,80.00,2,0,0,0
1574,Ali Murtaza,2012,1,3,0.00,3*,60.00,1,0,0,0
1575,Doug Bollinger,2012,6,3,3.00,3,60.00,0,0,0,0
1576,Morne Morkel,2012,16,3,1.50,2*,60.00,2,0,0,0
1577,Ashok Dinda,2012,7,2,2.00,2,40.00,0,0,0,0
1578,Rahul Sharma,2012,11,2,0.50,2,18.18,1,0,0,0
1579,Umesh Yadav,2012,17,2,1.00,1*,28.57,1,0,0,0
1580,Varun Aaron,2012,8,1,0.50,1,33.33,0,0,0,0
1581,Chris Gayle,2011,12,608,67.55,107,183.13,3,3,57,44
1582,Virat Kohli,2011,16,557,46.41,71,121.08,4,4,55,16
1583,Sachin Tendulkar,2011,16,553,42.53,100*,113.31,3,2,67,5
1584,Shaun Marsh,2011,14,504,42.00,95,146.51,1,4,52,20
1585,Michael Hussey,2011,14,492,41.00,83*,118.84,2,4,53,6
1586,Paul Valthaty,2011,14,463,35.61,120*,136.98,1,2,56,20
1587,Suresh Raina,2011,16,438,31.28,73*,134.76,2,4,36,17
1588,Murali Vijay,2011,16,434,27.12,95,128.02,0,3,34,20
1589,Virender Sehwag,2011,11,424,38.54,119,176.66,0,2,51,18
1590,Jacques Kallis,2011,15,424,35.33,80*,112.16,2,4,46,6
1591,Shikhar Dhawan,2011,14,400,33.33,95*,129.03,2,2,47,7
1592,Subramaniam Badrinath,2011,16,396,56.57,71*,126.51,6,5,38,9
1593,Ambati Rayudu,2011,16,395,28.21,63*,112.85,2,4,44,9
1594,MS Dhoni,2011,16,392,43.55,70*,158.70,4,2,25,23
1595,Adam Gilchrist,2011,14,383,27.35,106,129.83,0,2,41,18
1596,Gautam Gambhir,2011,15,378,34.36,75*,119.24,4,2,44,3
1597,Rohit Sharma,2011,16,372,33.81,87,125.25,3,3,32,13
1598,Manoj Tiwary,2011,15,359,51.28,61*,110.46,7,1,26,14
1599,Kumar Sangakkara,2011,13,358,27.53,65,122.18,0,1,44,5
1600,Brendon McCullum,2011,13,357,27.46,81,129.81,0,1,35,16
1601,Rahul Dravid,2011,12,343,31.18,66,109.23,1,1,45,2
1602,Yuvraj Singh,2011,14,343,34.30,66*,131.41,3,2,24,18
1603,Venugopal Rao,2011,14,336,28.00,60,120.00,2,1,30,13
1604,Shane Watson,2011,11,330,33.00,89*,130.43,1,1,31,17
1605,David Warner,2011,13,324,24.92,77,117.39,0,3,34,11
1606,AB de Villiers,2011,16,312,34.66,65,128.39,4,2,21,14
1607,Mahela Jayawardena,2011,13,299,23.00,76,116.34,0,3,35,5
1608,Jesse Ryder,2011,13,292,22.46,60,148.22,0,2,37,11
1609,Brad Hodge,2011,14,285,35.62,51*,120.76,6,1,26,9
1610,Ravindra Jadeja,2011,14,283,31.44,47,124.12,3,0,20,14
1611,Yusuf Pathan,2011,15,283,28.30,47*,140.79,1,0,24,13
1612,Dinesh Karthik,2011,14,282,25.63,69,128.18,2,1,32,7
1613,Robin Uthappa,2011,14,264,26.40,45,126.31,3,0,27,10
1614,Sunny Sohal,2011,11,249,24.90,62,130.36,0,2,25,10
1615,Manish Pandey,2011,10,246,27.33,59,108.37,0,1,28,6
1616,Johan Botha,2011,10,230,46.00,67*,116.16,4,1,20,2
1617,Tillakaratne Dilshan,2011,10,226,28.25,59*,125.55,2,2,33,3
1618,Bharat Chipli,2011,14,207,25.87,61*,121.76,5,1,21,4
1619,JP Duminy,2011,10,205,20.50,55,117.81,0,1,9,8
1620,Parthiv Patel,2011,14,202,20.20,37*,110.38,3,0,25,2
1621,James Hopes,2011,10,196,39.20,55,124.05,3,2,22,3
1622,Dan Christian,2011,14,190,17.27,30,119.49,2,0,9,7
1623,Saurabh Tiwary,2011,16,187,23.37,42*,99.46,5,0,13,5
1624,Dwaraka Ravi Teja,2011,12,183,26.14,60,127.08,2,1,17,4
1625,Ross Taylor,2011,12,181,36.20,47*,119.07,6,0,11,7
1626,Ashok Menaria,2011,13,180,20.00,34,118.42,1,0,10,10
1627,Naman Ojha,2011,14,160,12.30,29,99.37,1,0,11,11
1628,Irfan Pathan,2011,14,150,18.75,44*,108.69,4,0,12,6
1629,Kieron Pollard,2011,16,146,14.60,28,109.77,3,0,12,6
1630,Mayank Agarwal,2011,8,141,20.14,41,117.50,0,0,16,4
1631,Albie Morkel,2011,15,138,23.00,30*,135.29,7,0,8,8
1632,Eoin Morgan,2011,12,137,15.22,66,117.09,0,1,17,3
1633,Andrew Symonds,2011,11,135,33.75,44*,97.82,5,0,9,3
1634,Aiden Blizzard,2011,6,120,20.00,51,137.93,0,1,21,2
1635,Ajinkya Rahane,2011,10,120,20.00,52,122.44,1,1,12,2
1636,Mithun Manhas,2011,10,114,11.40,35,92.68,0,0,8,4
1637,Yogesh Nagar,2011,11,111,15.85,23,111.00,3,0,6,6
1638,Ryan ten Doeschate,2011,6,107,53.50,70*,146.57,1,1,9,5
1639,James Franklin,2011,8,107,53.50,45*,137.17,3,0,10,2
1640,Cameron White,2011,6,104,26.00,31*,95.41,2,0,6,2
1641,Harbhajan Singh,2011,15,103,34.33,30,145.07,5,0,9,6
1642,Davy Jacobs,2011,6,92,15.33,32,104.54,0,0,10,4
1643,Ryan McLaren,2011,6,90,30.00,51*,93.75,1,1,7,1
1644,Srikkanth Anirudha,2011,9,83,20.75,64,112.16,1,1,6,3
1645,Travis Birt,2011,5,75,15.00,27,129.31,0,0,9,2
1646,Michael Klinger,2011,4,73,18.25,29,94.80,0,0,9,0
1647,Manvinder Bisla,2011,5,72,14.40,27,80.89,0,0,8,0
1648,Wriddhiman Saha,2011,7,68,68.00,46*,107.93,2,0,2,4
1649,Amit Mishra,2011,14,68,17.00,25*,138.77,5,0,9,1
1650,Mohnish Mishra,2011,6,67,16.75,37*,111.66,1,0,5,2
1651,Tirumalasetti Suman,2011,8,65,10.83,36,127.45,1,0,5,5
1652,David Hussey,2011,8,64,10.66,21*,101.58,2,0,3,3
1653,Abhishek Nayar,2011,10,61,8.71,17*,91.04,2,0,9,0
1654,Abhishek Raut,2011,7,60,20.00,25,103.44,1,0,5,1
1655,Luke Pomersbach,2011,5,51,12.75,29,130.76,0,0,4,2
1656,Sourav Ganguly,2011,4,50,25.00,32*,84.74,1,0,3,2
1657,Mitchell Marsh,2011,5,50,25.00,37,102.04,1,0,2,3
1658,Vinay Kumar,2011,13,50,8.33,18,106.38,1,0,4,1
1659,Amit Paunikar,2011,4,49,12.25,20,85.96,0,0,9,0
1660,Callum Ferguson,2011,5,48,24.00,16,88.88,2,0,6,0
1661,Piyush Chawla,2011,12,48,16.00,15,87.27,3,0,2,2
1662,Aaron Finch,2011,6,47,7.83,25,102.17,0,0,3,3
1663,Mandeep Singh,2011,6,47,11.75,15*,114.63,1,0,4,1
1664,Raiphi Gomez,2011,11,46,9.20,26*,92.00,3,0,4,1
1665,VVS Laxman,2011,3,44,14.66,36,104.76,0,0,3,2
1666,Sunny Singh,2011,6,43,10.75,20,138.70,1,0,6,1
1667,Graeme Smith,2011,4,42,10.50,24,82.35,0,0,6,0
1668,Mohammad Kaif,2011,8,41,13.66,15,124.24,1,0,5,0
1669,Morne Morkel,2011,11,40,20.00,16*,160.00,3,0,3,2
1670,Stuart Binny,2011,6,37,37.00,30,119.35,1,0,2,1
1671,Wayne Parnell,2011,8,37,12.33,16,94.87,2,0,2,1
1672,Dale Steyn,2011,12,36,9.00,13,102.85,1,0,3,0
1673,Cheteshwar Pujara,2011,7,34,11.33,25,109.67,0,0,4,0
1674,Asad Pathan,2011,6,33,8.25,14,206.25,1,0,5,2
1675,Ryan Harris,2011,13,31,6.20,17,79.48,2,0,3,0
1676,Shreevats Goswami,2011,5,29,7.25,22,100.00,0,0,5,0
1677,Shakib Al Hasan,2011,7,29,14.50,26,131.81,1,0,4,0
1678,Ishank Jaggi,2011,2,28,14.00,25,75.67,0,0,3,0
1679,Abhimanyu Mithun,2011,12,27,9.00,11,135.00,3,0,3,1
1680,Praveen Kumar,2011,13,27,9.00,15*,87.09,4,0,2,1
1681,Nathan McCullum,2011,2,26,26.00,15,118.18,1,0,0,1
1682,Owais Shah,2011,3,26,13.00,23,173.33,0,0,1,2
1683,Rajagopal Sathish,2011,9,25,12.50,18*,73.52,1,0,1,0
1684,Rajat Bhatia,2011,14,25,8.33,11,113.63,3,0,3,0
1685,Rahul Sharma,2011,14,24,8.00,13,114.28,2,0,1,2
1686,Bipul Sharma,2011,4,23,23.00,16*,127.77,2,0,1,0
1687,Thisara Perera,2011,4,23,11.50,22,85.18,0,0,4,0
1688,Daniel Vettori,2011,13,23,23.00,18*,82.14,3,0,1,1
1689,Matthew Wade,2011,3,22,7.33,11,66.66,0,0,0,0
1690,Colin Ingram,2011,3,21,10.50,13*,80.76,1,0,2,0
1691,Zaheer Khan,2011,15,21,10.50,21,87.50,0,0,2,0
1692,Faiz Fazal,2011,2,19,9.50,16,100.00,0,0,3,0
1693,Y Gnaneswara Rao,2011,2,19,19.00,19,111.76,0,0,3,0
1694,Brad Haddin,2011,1,18,18.00,18,163.63,0,0,2,1
1695,Sachin Rana,2011,2,18,18.00,18,112.50,0,0,2,0
1696,Johan van der Wath,2011,3,18,9.00,14*,112.50,1,0,1,1
1697,Kedar Jadhav,2011,6,18,6.00,12,78.26,1,0,1,0
1698,Dishant Yagnik,2011,7,16,16.00,10*,72.72,3,0,1,0
1699,Syed Mohammad,2011,5,15,0.00,13*,125.00,2,0,2,0
1700,Iqbal Abdulla,2011,15,15,0.00,12*,125.00,2,0,1,0
1701,Laxmi Ratan Shukla,2011,1,14,14.00,14,140.00,0,0,2,0
1702,Harpreet Singh,2011,2,14,14.00,13,70.00,1,0,0,0
1703,Roelof van der Merwe,2011,4,14,0.00,8*,87.50,4,0,1,0
1704,Balachandra Akhil,2011,1,13,13.00,13,144.44,0,0,0,1
1705,Sreenath Aravind,2011,13,13,0.00,11*,162.50,2,0,2,0
1706,Murali Kartik,2011,6,12,12.00,11,80.00,2,0,1,0
1707,Ramesh Powar,2011,5,11,11.00,8*,84.61,2,0,0,0
1708,Dwayne Bravo,2011,6,11,11.00,6*,183.33,1,0,1,1
1709,Tim Paine,2011,2,10,5.00,8,38.46,0,0,0,0
1710,Abhishek Jhunjhunwala,2011,3,10,5.00,10,55.55,0,0,2,0
1711,Shaun Tait,2011,4,10,10.00,10*,100.00,1,0,1,0
1712,Shane Warne,2011,13,10,5.00,5*,50.00,2,0,1,0
1713,Siddharth Chitnis,2011,1,9,9.00,9,100.00,0,0,1,0
1714,Swapnil Asnodkar,2011,1,9,9.00,9,100.00,0,0,1,0
1715,Andrew McDonald,2011,1,8,8.00,8,114.28,0,0,0,0
1716,Charl Langeveldt,2011,3,8,8.00,8,100.00,0,0,0,1
1717,Lasith Malinga,2011,16,8,2.66,7,88.88,1,0,0,1
1718,Ishan Malhotra,2011,1,7,0.00,7*,175.00,1,0,1,0
1719,Arun Karthik,2011,3,7,3.50,6,87.50,0,0,1,0
1720,Ajit Agarkar,2011,7,7,7.00,7*,116.66,1,0,1,0
1721,Mark Boucher,2011,4,6,6.00,5,100.00,2,0,0,0
1722,Pinal Shah,2011,2,5,5.00,5,100.00,0,0,1,0
1723,Scott Styris,2011,2,5,0.00,5*,250.00,1,0,1,0
1724,Muttiah Muralitharan,2011,5,5,0.00,5*,62.50,1,0,0,0
1725,Brett Lee,2011,12,5,1.66,2*,55.55,1,0,0,0
1726,Sridharan Sriram,2011,1,4,4.00,4,57.14,0,0,0,0
1727,Shalabh Srivastava,2011,6,4,0.00,3*,133.33,2,0,0,0
1728,Ishant Sharma,2011,12,4,0.00,1*,80.00,5,0,0,0
1729,Lakshmipathy Balaji,2011,14,4,0.00,3*,200.00,2,0,0,0
1730,Ryan Ninan,2011,2,3,3.00,3,50.00,0,0,0,0
1731,Unmukt Chand,2011,2,2,1.00,2,16.66,0,0,0,0
1732,Ali Murtaza,2011,5,2,0.00,2*,40.00,1,0,0,0
1733,Dhawal Kulkarni,2011,6,2,2.00,2,50.00,1,0,0,0
1734,Shrikant Wagh,2011,7,2,1.00,2,66.66,0,0,0,0
1735,Suraj Randiv,2011,8,2,2.00,2,50.00,0,0,0,0
1736,RP Singh,2011,14,2,0.66,1*,50.00,2,0,0,0
1737,Ravichandran Ashwin,2011,16,2,1.00,2,33.33,0,0,0,0
1738,Ankeet Chavan,2011,2,1,1.00,1,33.33,0,0,0,0
1739,Umesh Yadav,2011,7,1,1.00,1*,20.00,1,0,0,0
1740,Amit Singh,2011,9,1,0.50,1,25.00,0,0,0,0
1741,Shanthakumaran Sreesanth,2011,9,1,0.50,1,11.11,1,0,0,0
1742,Sachin Tendulkar,2010,15,618,47.53,89*,132.61,2,5,86,3
1743,Jacques Kallis,2010,16,572,47.66,89*,115.78,4,6,67,9
1744,Suresh Raina,2010,16,520,47.27,83*,142.85,5,4,45,22
1745,Sourav Ganguly,2010,14,493,37.92,88,117.66,1,4,58,15
1746,Murali Vijay,2010,15,458,35.23,127,156.84,2,2,36,26
1747,Mahela Jayawardena,2010,13,439,43.90,110*,147.31,3,1,55,11
1748,Andrew Symonds,2010,16,429,30.64,54,125.80,2,4,35,18
1749,Saurabh Tiwary,2010,16,419,29.92,61,135.59,1,3,29,18
1750,Rohit Sharma,2010,16,404,28.85,73,133.77,2,3,36,14
1751,Naman Ojha,2010,14,377,31.41,94*,132.28,2,2,42,15
1752,Robin Uthappa,2010,16,374,31.16,68*,171.55,2,3,21,27
1753,Kumar Sangakkara,2010,13,357,29.75,56,138.91,0,2,47,5
1754,Ambati Rayudu,2010,14,356,27.38,55*,144.71,1,2,34,13
1755,Virender Sehwag,2010,14,356,25.42,75,163.30,0,3,47,14
1756,Subramaniam Badrinath,2010,16,356,32.36,55*,117.49,4,2,41,5
1757,Matthew Hayden,2010,16,346,21.62,93,124.01,0,1,37,16
1758,Yusuf Pathan,2010,14,333,27.75,100,165.67,2,1,22,24
1759,Tirumalasetti Suman,2010,14,307,34.11,78*,119.45,5,2,23,12
1760,Virat Kohli,2010,16,307,27.90,58,144.81,2,1,26,12
1761,Chris Gayle,2010,9,292,32.44,88,158.69,0,2,30,16
1762,Adam Gilchrist,2010,16,289,18.06,54,156.21,0,1,31,16
1763,MS Dhoni,2010,13,287,31.88,66*,136.66,2,2,26,8
1764,David Warner,2010,11,282,28.20,107*,147.64,1,1,27,14
1765,Michael Lumb,2010,11,278,25.27,83,144.79,0,1,45,6
1766,Dinesh Karthik,2010,14,278,21.38,69,117.29,1,1,26,6
1767,Gautam Gambhir,2010,11,277,30.77,72,127.64,1,2,32,2
1768,Irfan Pathan,2010,14,276,34.50,60,148.38,5,1,21,10
1769,Kieron Pollard,2010,14,273,22.75,45*,185.71,2,0,23,17
1770,Herschelle Gibbs,2010,10,267,26.70,50,113.61,0,1,26,9
1771,Rahul Dravid,2010,16,256,28.44,52,128.64,2,1,34,3
1772,Yuvraj Singh,2010,14,255,21.25,43,128.14,2,0,20,14
1773,Manish Pandey,2010,13,249,20.75,42*,110.17,1,0,27,7
1774,Ravi Bopara,2010,10,248,31.00,77,115.88,1,2,25,3
1775,Manoj Tiwary,2010,13,237,26.33,75*,127.41,2,2,23,5
1776,Kevin Pietersen,2010,7,236,59.00,66*,150.31,3,2,23,8
1777,Angelo Mathews,2010,14,233,33.28,65*,126.63,4,1,18,8
1778,Manvinder Bisla,2010,10,218,21.80,75,122.47,0,1,27,6
1779,Paul Collingwood,2010,8,203,40.60,75*,130.12,2,3,9,13
1780,Albie Morkel,2010,14,198,24.75,62,151.14,3,1,10,13
1781,Shikhar Dhawan,2010,10,191,19.10,56,112.35,0,2,23,3
1782,Shane Watson,2010,6,185,37.00,60,162.28,0,2,18,9
1783,Abhishek Jhunjhunwala,2010,13,183,20.33,53*,110.24,2,1,16,4
1784,Adam Voges,2010,9,181,45.25,45*,126.57,3,0,15,3
1785,Mohnish Mishra,2010,11,166,15.09,41,115.27,0,0,18,6
1786,Faiz Fazal,2010,10,164,20.50,45,106.49,1,0,19,1
1787,JP Duminy,2010,7,157,31.40,42*,119.84,2,0,13,5
1788,Mithun Manhas,2010,9,157,39.25,32*,105.36,4,0,14,0
1789,Shaun Marsh,2010,4,147,49.00,88*,128.94,1,2,14,6
1790,Cheteshwar Pujara,2010,10,122,30.50,45*,106.08,2,0,14,3
1791,Owais Shah,2010,5,115,57.50,58*,121.05,3,1,7,5
1792,Brendon McCullum,2010,5,114,28.50,57*,103.63,1,1,14,2
1793,Rajagopal Sathish,2010,12,112,16.00,24,116.66,4,0,11,0
1794,AB de Villiers,2010,7,111,15.85,45,93.27,0,0,7,0
1795,Paras Dogra,2010,9,107,13.37,41,100.94,0,0,4,5
1796,Harbhajan Singh,2010,15,105,26.25,49*,166.66,3,0,12,5
1797,Brad Hodge,2010,4,99,24.75,50,110.00,0,1,11,1
1798,David Hussey,2010,6,94,23.50,31,109.30,2,0,5,5
1799,Ross Taylor,2010,7,88,22.00,31*,117.33,3,0,2,6
1800,Kedar Jadhav,2010,5,76,25.33,50*,135.71,2,1,7,2
1801,Parthiv Patel,2010,4,72,18.00,57,91.13,0,1,6,2
1802,Wriddhiman Saha,2010,13,67,22.33,22,126.41,4,0,9,1
1803,Ryan McLaren,2010,10,66,22.00,40,95.65,4,0,7,0
1804,Andrew McDonald,2010,4,65,0.00,33*,125.00,3,0,3,2
1805,VVS Laxman,2010,6,64,12.80,22,106.66,1,0,7,1
1806,Anirudh Singh,2010,5,63,15.75,40,95.45,0,0,6,1
1807,Piyush Chawla,2010,14,62,12.40,22,103.33,1,0,7,0
1808,Dwayne Bravo,2010,10,61,8.71,23,115.09,1,0,3,4
1809,Abhishek Nayar,2010,3,58,29.00,27,113.72,1,0,4,2
1810,Abhishek Raut,2010,6,56,28.00,32*,116.66,3,0,3,3
1811,Aditya Tare,2010,7,50,12.50,23,138.88,0,0,5,3
1812,Cameron White,2010,7,48,24.00,21*,145.45,3,0,3,3
1813,Ryan Harris,2010,8,45,11.25,15,115.38,1,0,2,2
1814,Graeme Smith,2010,2,44,22.00,26,112.82,0,0,7,0
1815,Tillakaratne Dilshan,2010,6,44,7.33,17,83.01,0,0,6,0
1816,Adrian Barath,2010,3,42,21.00,33,100.00,1,0,5,1
1817,Ajit Agarkar,2010,7,40,40.00,17,137.93,3,0,4,0
1818,Amit Mishra,2010,14,39,9.75,12,76.47,3,0,1,0
1819,Michael Hussey,2010,3,37,18.50,15,84.09,1,0,2,0
1820,Laxmi Ratan Shukla,2010,4,36,18.00,19,138.46,0,0,3,2
1821,Bodapati Sumanth,2010,5,35,35.00,16,94.59,3,0,3,0
1822,Eoin Morgan,2010,6,35,11.66,17,116.66,1,0,2,1
1823,Aditya Dole,2010,3,34,17.00,30,154.54,0,0,3,1
1824,Venugopal Rao,2010,6,34,8.50,24,79.06,1,0,3,1
1825,Daniel Vettori,2010,3,33,33.00,19*,122.22,2,0,4,0
1826,Sanath Jayasuriya,2010,4,33,8.25,23,106.45,0,0,4,1
1827,MF Maharoof,2010,7,31,10.33,28,134.78,1,0,2,2
1828,Chaminda Vaas,2010,6,30,7.50,16,88.23,1,0,1,1
1829,Ravichandran Ashwin,2010,12,30,7.50,11*,75.00,2,0,2,0
1830,Rahul Sharma,2010,6,29,9.66,14*,111.53,1,0,3,1
1831,Mitchell Marsh,2010,3,28,14.00,15,93.33,0,0,1,1
1832,Mohammad Kaif,2010,4,28,9.33,14,93.33,0,0,2,0
1833,Sridharan Sriram,2010,1,27,27.00,27,93.10,0,0,3,0
1834,Shanthakumaran Sreesanth,2010,6,27,0.00,15*,128.57,3,0,5,0
1835,Vinay Kumar,2010,14,27,6.75,10*,84.37,1,0,1,0
1836,JM Kemp,2010,5,26,13.00,22,108.33,0,0,1,1
1837,Rajat Bhatia,2010,5,24,8.00,21,141.17,0,0,1,2
1838,Zaheer Khan,2010,14,24,24.00,23*,184.61,3,0,3,1
1839,Ashish Nehra,2010,4,23,23.00,22*,115.00,1,0,2,1
1840,Dwayne Smith,2010,3,22,11.00,13*,88.00,1,0,1,1
1841,Murali Kartik,2010,10,22,11.00,21,100.00,0,0,2,0
1842,Aaron Finch,2010,1,21,21.00,21,100.00,0,0,0,1
1843,Siddharth Trivedi,2010,11,20,10.00,9,142.85,2,0,3,1
1844,Damien Martyn,2010,1,19,19.00,19,79.16,0,0,1,0
1845,George Bailey,2010,1,18,18.00,18,66.66,0,0,2,0
1846,Karan Goel,2010,6,18,18.00,17*,90.00,1,0,1,1
1847,Lakshmipathy Balaji,2010,7,18,9.00,15,90.00,1,0,1,1
1848,Doug Bollinger,2010,8,18,0.00,16*,105.88,2,0,1,1
1849,Chandan Madan,2010,1,15,15.00,15,78.94,0,0,3,0
1850,Sumit Narwal,2010,5,14,7.00,12,116.66,1,0,2,0
1851,Mark Boucher,2010,5,13,13.00,11*,130.00,1,0,0,1
1852,Dale Steyn,2010,15,13,3.25,8,76.47,0,0,2,0
1853,Dimitri Mascarenhas,2010,2,12,12.00,9*,120.00,1,0,0,0
1854,Shaun Tait,2010,8,12,12.00,11,92.30,1,0,0,1
1855,Moises Henriques,2010,1,11,11.00,11,220.00,0,0,2,0
1856,Brett Lee,2010,4,11,11.00,7*,122.22,2,0,1,0
1857,Kemar Roach,2010,2,10,10.00,10,111.11,0,0,1,0
1858,Thilan Thushara,2010,4,10,10.00,8,90.90,1,0,0,0
1859,Pradeep Sangwan,2010,8,10,10.00,6*,71.42,1,0,0,0
1860,Shane Warne,2010,14,10,2.00,4,52.63,2,0,0,0
1861,Morne Morkel,2010,2,9,9.00,7*,56.25,1,0,1,0
1862,Bipul Sharma,2010,5,9,0.00,8*,128.57,2,0,1,0
1863,RP Singh,2010,12,9,4.50,4*,47.36,3,0,0,0
1864,Shreevats Goswami,2010,1,8,8.00,8,80.00,0,0,2,0
1865,Stuart Binny,2010,1,8,8.00,8,160.00,0,0,1,0
1866,Jaskaran Singh,2010,6,8,8.00,4*,72.72,3,0,0,0
1867,Vikramjeet Malik,2010,3,6,6.00,6,120.00,0,0,1,0
1868,Ishant Sharma,2010,7,6,6.00,6*,35.29,1,0,0,0
1869,Anil Kumble,2010,16,6,0.00,2*,54.54,5,0,0,0
1870,Abhimanyu Mithun,2010,1,5,5.00,5,125.00,0,0,1,0
1871,Swapnil Asnodkar,2010,2,5,2.50,5,125.00,0,0,1,0
1872,Ramesh Powar,2010,7,5,5.00,3,62.50,1,0,0,0
1873,Amit Uniyal,2010,2,4,4.00,4*,57.14,1,0,0,0
1874,Reetinder Sodhi,2010,3,4,0.00,4*,200.00,1,0,1,0
1875,Munaf Patel,2010,4,4,4.00,4*,80.00,1,0,0,0
1876,Dirk Nannes,2010,9,4,4.00,3,30.76,1,0,0,0
1877,Praveen Kumar,2010,12,4,2.00,3*,50.00,2,0,0,0
1878,Arun Karthik,2010,1,3,0.00,3*,60.00,1,0,0,0
1879,Sudeep Tyagi,2010,6,3,0.00,3*,75.00,1,0,0,0
1880,Umesh Yadav,2010,7,3,0.00,3*,75.00,1,0,0,0
1881,Pragyan Ojha,2010,16,3,1.00,2,37.50,3,0,0,0
1882,Azhar Bilakhia,2010,1,2,2.00,2,50.00,0,0,0,0
1883,KP Appanna,2010,2,2,2.00,1*,66.66,1,0,0,0
1884,Rohan Gavaskar,2010,2,2,2.00,2,25.00,0,0,0,0
1885,Manpreet Gony,2010,3,2,2.00,2,33.33,0,0,0,0
1886,Dilhara Fernando,2010,5,2,0.00,2*,100.00,1,0,0,0
1887,Juan Theron,2010,7,2,1.00,2,40.00,0,0,0,0
1888,Roelof van der Merwe,2010,1,1,1.00,1,50.00,0,0,0,0
1889,Ajantha Mendis,2010,2,1,0.00,1*,100.00,1,0,0,0
1890,Pankaj Singh,2010,2,1,1.00,1,50.00,0,0,0,0
1891,Shalabh Srivastava,2010,8,1,1.00,1*,50.00,1,0,0,0
1892,Shane Bond,2010,8,1,1.00,1,50.00,0,0,0,0
1893,Muttiah Muralitharan,2010,12,1,1.00,1,50.00,0,0,0,0
1894,Lasith Malinga,2010,13,1,0.00,1*,100.00,2,0,0,0
1895,Matthew Hayden,2009,12,572,52.00,89,144.81,1,5,60,22
1896,Adam Gilchrist,2009,16,495,30.93,85,152.30,0,3,54,29
1897,Suresh Raina,2009,14,434,31.00,98,140.90,0,2,37,21
1898,JP Duminy,2009,13,372,41.33,62,114.46,3,5,26,11
1899,Herschelle Gibbs,2009,14,371,33.72,69*,112.08,3,4,32,12
1900,Brad Hodge,2009,12,365,40.55,73,117.74,3,3,34,9
1901,Sachin Tendulkar,2009,13,364,33.09,68,120.13,2,2,39,10
1902,Rohit Sharma,2009,16,362,27.84,52,114.92,3,1,22,18
1903,Jacques Kallis,2009,15,361,27.76,69*,108.73,2,3,37,8
1904,Yuvraj Singh,2009,14,340,28.33,58*,115.64,2,2,25,16
1905,Kumar Sangakkara,2009,14,332,30.18,60,102.46,2,2,29,5
1906,MS Dhoni,2009,14,332,41.50,58*,127.20,5,2,22,9
1907,Ravindra Jadeja,2009,13,295,26.81,42,110.90,2,0,21,6
1908,Brendon McCullum,2009,13,285,23.75,84*,119.24,1,2,27,12
1909,Ross Taylor,2009,11,280,31.11,81*,134.61,2,1,20,15
1910,Rahul Dravid,2009,13,271,22.58,66,115.81,0,1,28,3
1911,Andrew Symonds,2009,8,249,35.57,60*,150.00,1,1,15,11
1912,Virat Kohli,2009,16,246,22.36,50,112.32,2,1,22,8
1913,Yusuf Pathan,2009,13,243,20.25,62*,132.78,1,1,24,12
1914,Tirumalasetti Suman,2009,12,237,23.70,41*,124.73,2,0,18,8
1915,Sanath Jayasuriya,2009,12,221,18.41,52,115.10,0,2,23,7
1916,Mahela Jayawardena,2009,10,219,36.50,52*,132.72,4,1,17,7
1917,Dwayne Bravo,2009,11,218,27.25,70*,107.38,2,2,15,8
